Transport,Vehicle Type,Vehicle Monthly Distance Km,Energy efficiency,Waste Bag Weekly Count,Recycling,Monthly Grocery Bill,Frequency of Traveling by Air,CarbonEmission
private,petrol,5203,Sometimes,7,"['Glass', 'Metal']",202,rarely,4151
walk/bicycle,No Vehicle,89,Sometimes,2,"['Paper', 'Plastic']",57,frequently,2212
public,No Vehicle,1339,Yes,3,"['Paper', 'Glass']",133,frequently,2211
public,No Vehicle,655,Sometimes,6,"['Paper', 'Plastic', 'Metal']",225,frequently,2309
public,No Vehicle,1705,Yes,5,"['Paper', 'Glass', 'Metal']",85,rarely,1698
private,lpg,2498,Yes,7,"['Paper', 'Glass', 'Metal']",161,rarely,2521
private,electric,5145,Sometimes,4,"['Paper', 'Plastic', 'Metal']",211,frequently,1930
private,hybrid,4595,Yes,4,"['Paper', 'Plastic', 'Metal']",166,frequently,1866
walk/bicycle,No Vehicle,39,Sometimes,2,['Metal'],290,very frequently,2923
walk/bicycle,No Vehicle,0,Sometimes,7,"['Plastic', 'Glass']",234,frequently,2600
walk/bicycle,No Vehicle,6,No,3,"['Plastic', 'Glass']",82,very frequently,3128
walk/bicycle,No Vehicle,2,Yes,7,"['Paper', 'Plastic', 'Metal']",230,rarely,1601
private,lpg,6434,No,7,"['Paper', 'Glass']",246,very frequently,4052
public,No Vehicle,224,Sometimes,6,"['Paper', 'Glass']",110,rarely,1890
private,petrol,3291,No,5,"['Plastic', 'Glass']",69,rarely,2627
public,No Vehicle,983,Sometimes,7,[],282,never,2665
public,No Vehicle,1218,No,4,['Metal'],285,rarely,1144
public,No Vehicle,1505,Yes,4,"['Paper', 'Glass']",54,frequently,2040
walk/bicycle,No Vehicle,3,Sometimes,4,"['Paper', 'Glass', 'Metal']",140,very frequently,2217
private,diesel,189,Yes,2,['Glass'],101,very frequently,2614
public,No Vehicle,1749,No,7,"['Glass', 'Metal']",296,very frequently,3308
private,lpg,4037,Yes,7,"['Paper', 'Plastic', 'Glass', 'Metal']",95,frequently,2414
public,No Vehicle,1747,Yes,4,"['Plastic', 'Glass']",52,never,1358
private,lpg,2376,No,1,"['Plastic', 'Glass']",279,frequently,3488
private,electric,875,No,3,"['Plastic', 'Glass', 'Metal']",124,rarely,1283
public,No Vehicle,1997,Sometimes,5,"['Paper', 'Plastic', 'Metal']",57,frequently,2199
public,No Vehicle,1097,No,6,[],68,very frequently,3894
walk/bicycle,No Vehicle,58,Sometimes,7,"['Glass', 'Metal']",286,rarely,2440
walk/bicycle,No Vehicle,31,No,4,['Plastic'],226,frequently,2547
walk/bicycle,No Vehicle,60,Sometimes,6,['Paper'],259,never,1435
private,petrol,3709,Yes,3,"['Paper', 'Plastic', 'Glass']",52,never,2227
public,No Vehicle,178,Sometimes,1,"['Glass', 'Metal']",60,very frequently,2342
public,No Vehicle,1465,No,2,"['Paper', 'Plastic', 'Metal']",138,never,780
walk/bicycle,No Vehicle,85,No,5,['Plastic'],84,very frequently,2300
walk/bicycle,No Vehicle,26,Yes,3,['Glass'],203,frequently,1729
walk/bicycle,No Vehicle,49,Yes,5,"['Paper', 'Glass', 'Metal']",298,rarely,1323
public,No Vehicle,578,Sometimes,2,['Paper'],225,very frequently,2515
walk/bicycle,No Vehicle,77,Yes,4,"['Paper', 'Metal']",109,frequently,2393
public,No Vehicle,1507,Sometimes,5,"['Paper', 'Plastic', 'Metal']",73,frequently,1285
private,hybrid,75,Sometimes,1,['Paper'],141,frequently,2485
private,electric,4749,Sometimes,5,['Metal'],242,frequently,2252
private,hybrid,4592,Sometimes,7,['Glass'],171,frequently,2543
walk/bicycle,No Vehicle,1,Sometimes,1,"['Paper', 'Metal']",192,frequently,2092
private,petrol,2950,Yes,7,"['Paper', 'Metal']",279,very frequently,3772
walk/bicycle,No Vehicle,98,No,1,"['Paper', 'Plastic', 'Glass']",64,very frequently,3097
private,electric,5517,Yes,4,"['Paper', 'Glass', 'Metal']",257,very frequently,2758
private,petrol,4424,Yes,4,"['Paper', 'Glass']",276,never,3306
public,No Vehicle,1916,Sometimes,2,"['Plastic', 'Glass', 'Metal']",150,frequently,1669
private,diesel,4333,Yes,2,"['Paper', 'Plastic', 'Metal']",112,very frequently,3810
walk/bicycle,No Vehicle,90,Yes,5,[],180,very frequently,3099
private,electric,1210,No,2,"['Paper', 'Metal']",70,very frequently,2461
walk/bicycle,No Vehicle,97,Sometimes,1,"['Paper', 'Plastic']",52,frequently,1310
public,No Vehicle,1099,Sometimes,4,"['Plastic', 'Metal']",244,rarely,1767
public,No Vehicle,1934,No,6,"['Paper', 'Plastic', 'Glass']",280,never,1871
public,No Vehicle,783,No,6,"['Paper', 'Plastic']",227,frequently,2230
walk/bicycle,No Vehicle,46,No,5,[],189,rarely,2910
public,No Vehicle,1250,No,4,['Plastic'],196,very frequently,2708
private,lpg,8105,Yes,5,['Metal'],255,frequently,4099
private,lpg,9007,Yes,1,['Paper'],109,rarely,3358
private,lpg,2349,Yes,6,"['Plastic', 'Glass']",229,rarely,1633
public,No Vehicle,1671,No,4,"['Paper', 'Plastic']",288,very frequently,2479
public,No Vehicle,1330,Sometimes,2,"['Plastic', 'Metal']",204,very frequently,2539
walk/bicycle,No Vehicle,71,No,1,"['Paper', 'Glass', 'Metal']",228,frequently,2158
walk/bicycle,No Vehicle,6,Sometimes,6,"['Paper', 'Plastic', 'Glass', 'Metal']",122,very frequently,2623
walk/bicycle,No Vehicle,95,Yes,6,"['Plastic', 'Metal']",95,rarely,1589
public,No Vehicle,645,No,4,[],137,never,1318
private,diesel,486,Yes,1,"['Paper', 'Plastic']",195,frequently,1894
walk/bicycle,No Vehicle,0,Sometimes,6,"['Paper', 'Glass', 'Metal']",188,very frequently,2647
walk/bicycle,No Vehicle,57,Yes,2,['Plastic'],74,rarely,1581
public,No Vehicle,575,Yes,5,"['Plastic', 'Glass']",94,frequently,1543
public,No Vehicle,1483,Sometimes,4,"['Glass', 'Metal']",110,rarely,1862
private,diesel,7545,Sometimes,5,"['Plastic', 'Metal']",271,frequently,3946
public,No Vehicle,201,No,3,"['Plastic', 'Glass']",100,never,1878
public,No Vehicle,468,Yes,7,['Paper'],291,never,1782
walk/bicycle,No Vehicle,17,No,4,"['Paper', 'Plastic']",241,frequently,1653
walk/bicycle,No Vehicle,51,No,5,"['Glass', 'Metal']",151,very frequently,1997
private,lpg,8722,Sometimes,6,"['Glass', 'Metal']",91,very frequently,5964
private,lpg,3972,Yes,7,['Metal'],194,never,2680
walk/bicycle,No Vehicle,51,Yes,1,['Plastic'],158,frequently,1559
walk/bicycle,No Vehicle,27,No,3,"['Plastic', 'Metal']",281,rarely,2137
private,lpg,503,Yes,3,"['Paper', 'Plastic', 'Glass']",205,never,1232
public,No Vehicle,362,Yes,2,['Metal'],135,never,1218
walk/bicycle,No Vehicle,62,Yes,7,"['Paper', 'Plastic', 'Metal']",200,never,2218
private,lpg,9232,Sometimes,6,[],195,never,5064
private,lpg,3233,Sometimes,4,[],59,rarely,2633
private,lpg,6659,No,2,"['Plastic', 'Metal']",145,very frequently,5502
walk/bicycle,No Vehicle,86,No,7,"['Paper', 'Glass', 'Metal']",156,frequently,2960
walk/bicycle,No Vehicle,85,Sometimes,1,"['Plastic', 'Glass']",262,rarely,1156
public,No Vehicle,1405,Yes,4,"['Paper', 'Plastic', 'Glass', 'Metal']",121,frequently,1877
walk/bicycle,No Vehicle,5,No,4,"['Plastic', 'Metal']",233,rarely,2184
walk/bicycle,No Vehicle,12,Sometimes,1,"['Paper', 'Glass']",225,rarely,1009
public,No Vehicle,459,Sometimes,4,['Glass'],112,rarely,1965
public,No Vehicle,1748,Sometimes,3,"['Glass', 'Metal']",130,never,1098
walk/bicycle,No Vehicle,70,Yes,2,['Metal'],56,rarely,1152
private,hybrid,2054,Yes,1,['Metal'],146,very frequently,2751
private,electric,5095,No,4,"['Paper', 'Plastic', 'Glass', 'Metal']",284,frequently,1674
private,electric,3850,No,5,['Glass'],239,rarely,1961
public,No Vehicle,1013,Sometimes,7,"['Plastic', 'Metal']",287,rarely,1447
walk/bicycle,No Vehicle,92,No,7,"['Paper', 'Plastic', 'Glass', 'Metal']",52,rarely,1811
walk/bicycle,No Vehicle,4,Sometimes,4,['Glass'],83,very frequently,2476
public,No Vehicle,894,No,2,"['Paper', 'Plastic', 'Metal']",193,very frequently,2637
public,No Vehicle,1393,No,7,"['Paper', 'Plastic']",268,frequently,3738
private,petrol,6239,Yes,3,"['Glass', 'Metal']",90,rarely,4723
private,petrol,5278,Sometimes,6,"['Plastic', 'Glass']",146,frequently,5106
private,hybrid,125,No,4,"['Plastic', 'Glass']",251,never,1268
public,No Vehicle,1306,Sometimes,7,"['Plastic', 'Glass']",181,never,2135
private,electric,4458,Yes,5,"['Paper', 'Plastic']",55,very frequently,2310
walk/bicycle,No Vehicle,49,No,5,['Metal'],247,rarely,1684
public,No Vehicle,324,Sometimes,2,"['Paper', 'Plastic']",249,frequently,1941
private,electric,9384,Yes,2,"['Paper', 'Plastic']",79,frequently,1861
walk/bicycle,No Vehicle,34,Sometimes,5,"['Paper', 'Glass']",253,never,1964
private,hybrid,8101,Yes,3,"['Paper', 'Glass']",239,rarely,3397
public,No Vehicle,422,Sometimes,4,"['Paper', 'Plastic', 'Glass', 'Metal']",146,rarely,2717
walk/bicycle,No Vehicle,73,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",172,rarely,698
private,diesel,463,No,2,[],120,very frequently,2929
private,diesel,8107,Sometimes,6,"['Paper', 'Plastic', 'Glass']",216,very frequently,4693
walk/bicycle,No Vehicle,62,Sometimes,3,['Plastic'],85,very frequently,2618
public,No Vehicle,955,Sometimes,6,"['Plastic', 'Glass', 'Metal']",105,rarely,2032
private,lpg,3470,Yes,4,[],205,very frequently,4378
walk/bicycle,No Vehicle,1,No,3,['Plastic'],228,frequently,1978
walk/bicycle,No Vehicle,96,Yes,1,"['Plastic', 'Metal']",82,very frequently,1821
walk/bicycle,No Vehicle,72,Sometimes,2,[],271,frequently,2114
walk/bicycle,No Vehicle,50,Sometimes,4,"['Paper', 'Plastic', 'Glass']",269,rarely,1430
walk/bicycle,No Vehicle,94,Yes,5,['Metal'],246,rarely,1879
walk/bicycle,No Vehicle,0,No,5,"['Paper', 'Plastic', 'Metal']",115,never,1365
walk/bicycle,No Vehicle,85,Sometimes,7,"['Paper', 'Plastic']",260,frequently,1786
public,No Vehicle,714,Sometimes,1,['Paper'],189,rarely,1657
public,No Vehicle,1047,Yes,6,"['Paper', 'Metal']",152,never,1434
public,No Vehicle,1276,No,5,"['Paper', 'Plastic', 'Metal']",226,very frequently,2738
private,hybrid,7656,Sometimes,5,"['Plastic', 'Glass']",87,very frequently,4633
public,No Vehicle,302,No,5,"['Paper', 'Plastic']",82,very frequently,2808
walk/bicycle,No Vehicle,76,Sometimes,5,"['Paper', 'Plastic', 'Metal']",96,rarely,1609
public,No Vehicle,1693,No,6,"['Plastic', 'Metal']",230,frequently,2626
walk/bicycle,No Vehicle,6,Yes,6,['Paper'],198,never,1908
walk/bicycle,No Vehicle,4,Yes,6,"['Glass', 'Metal']",134,very frequently,3131
public,No Vehicle,883,Yes,2,['Plastic'],244,frequently,2255
public,No Vehicle,1202,No,3,"['Plastic', 'Glass', 'Metal']",151,rarely,783
private,lpg,1536,Sometimes,5,['Metal'],73,never,1518
walk/bicycle,No Vehicle,47,Yes,6,"['Glass', 'Metal']",135,rarely,1692
public,No Vehicle,541,No,7,['Plastic'],119,very frequently,4038
walk/bicycle,No Vehicle,92,Yes,1,['Glass'],117,never,1417
private,lpg,3183,Sometimes,4,"['Plastic', 'Glass']",268,very frequently,2509
private,electric,6192,Yes,5,"['Paper', 'Metal']",93,rarely,1103
walk/bicycle,No Vehicle,68,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",276,very frequently,2580
public,No Vehicle,1688,Sometimes,4,['Metal'],94,rarely,1914
private,hybrid,11,No,3,"['Paper', 'Plastic', 'Glass', 'Metal']",197,rarely,751
private,lpg,2119,Sometimes,2,[],162,rarely,2366
walk/bicycle,No Vehicle,75,Yes,4,"['Plastic', 'Glass', 'Metal']",101,never,758
private,hybrid,2180,Yes,4,[],92,rarely,1781
private,petrol,8931,Yes,4,"['Paper', 'Metal']",62,very frequently,5517
public,No Vehicle,1490,No,6,"['Plastic', 'Metal']",228,never,2199
public,No Vehicle,272,Sometimes,2,['Metal'],130,rarely,1204
private,petrol,5095,Yes,2,['Metal'],205,very frequently,4320
public,No Vehicle,1388,Sometimes,5,"['Paper', 'Plastic', 'Glass']",278,rarely,1622
public,No Vehicle,1993,Yes,6,"['Plastic', 'Glass', 'Metal']",153,never,1347
walk/bicycle,No Vehicle,23,Sometimes,7,"['Paper', 'Plastic', 'Glass', 'Metal']",179,frequently,1899
public,No Vehicle,1785,Sometimes,6,"['Paper', 'Metal']",161,rarely,1870
private,electric,7557,No,4,"['Paper', 'Plastic', 'Metal']",173,rarely,1489
walk/bicycle,No Vehicle,27,Yes,3,"['Plastic', 'Glass']",188,very frequently,2210
public,No Vehicle,1801,Sometimes,2,"['Plastic', 'Glass', 'Metal']",176,very frequently,2749
public,No Vehicle,1766,No,2,[],177,very frequently,2861
walk/bicycle,No Vehicle,79,Yes,7,"['Paper', 'Plastic']",70,very frequently,2438
walk/bicycle,No Vehicle,22,No,4,['Paper'],158,frequently,1872
public,No Vehicle,1928,No,6,"['Paper', 'Glass', 'Metal']",106,rarely,2001
walk/bicycle,No Vehicle,50,No,6,['Plastic'],105,rarely,1573
private,hybrid,3162,No,3,"['Paper', 'Plastic', 'Glass', 'Metal']",100,very frequently,2773
walk/bicycle,No Vehicle,81,Sometimes,5,"['Paper', 'Glass']",185,rarely,1765
walk/bicycle,No Vehicle,69,No,3,"['Paper', 'Plastic']",297,frequently,1776
private,electric,1919,Sometimes,3,['Plastic'],102,never,2253
walk/bicycle,No Vehicle,69,Sometimes,5,"['Glass', 'Metal']",220,very frequently,3498
public,No Vehicle,819,Sometimes,4,"['Plastic', 'Glass', 'Metal']",143,frequently,2010
walk/bicycle,No Vehicle,6,Yes,6,"['Plastic', 'Glass', 'Metal']",208,frequently,2299
walk/bicycle,No Vehicle,92,No,7,[],106,frequently,2774
walk/bicycle,No Vehicle,13,Yes,3,"['Paper', 'Plastic', 'Metal']",60,never,1755
walk/bicycle,No Vehicle,69,No,3,['Plastic'],76,frequently,2571
public,No Vehicle,1024,No,2,['Paper'],233,rarely,1548
public,No Vehicle,408,No,7,['Metal'],185,frequently,2538
public,No Vehicle,1319,Sometimes,3,"['Paper', 'Glass']",297,never,1281
private,lpg,7598,Sometimes,5,"['Paper', 'Glass', 'Metal']",202,never,3590
public,No Vehicle,1062,No,4,['Glass'],257,very frequently,3320
walk/bicycle,No Vehicle,12,No,1,"['Paper', 'Metal']",272,never,738
walk/bicycle,No Vehicle,19,Sometimes,7,['Glass'],274,very frequently,3147
public,No Vehicle,1004,Yes,1,['Glass'],148,frequently,2461
private,diesel,7363,Yes,1,[],178,rarely,3029
walk/bicycle,No Vehicle,68,Sometimes,1,[],258,rarely,1739
walk/bicycle,No Vehicle,55,Sometimes,6,"['Paper', 'Glass']",263,rarely,1621
public,No Vehicle,1785,Sometimes,1,['Glass'],193,rarely,1769
public,No Vehicle,376,Sometimes,5,"['Plastic', 'Glass', 'Metal']",98,never,1151
public,No Vehicle,1516,No,6,"['Plastic', 'Glass']",292,very frequently,3180
walk/bicycle,No Vehicle,65,No,6,"['Paper', 'Metal']",105,rarely,1065
walk/bicycle,No Vehicle,20,No,2,[],227,never,2280
walk/bicycle,No Vehicle,98,No,5,"['Paper', 'Metal']",136,frequently,2410
private,hybrid,288,Yes,2,"['Paper', 'Plastic', 'Metal']",50,never,1042
private,hybrid,4998,Yes,4,[],116,rarely,2386
private,diesel,1340,Sometimes,2,['Paper'],91,rarely,1414
public,No Vehicle,1507,Sometimes,3,"['Paper', 'Glass', 'Metal']",202,never,1024
walk/bicycle,No Vehicle,38,No,2,['Paper'],114,frequently,1694
private,hybrid,9798,No,6,"['Paper', 'Glass', 'Metal']",240,rarely,3170
walk/bicycle,No Vehicle,40,Sometimes,6,[],155,rarely,1833
walk/bicycle,No Vehicle,19,Sometimes,4,"['Paper', 'Plastic', 'Glass']",267,very frequently,2912
public,No Vehicle,1386,No,7,"['Paper', 'Plastic']",110,never,2327
walk/bicycle,No Vehicle,71,Sometimes,7,['Glass'],191,very frequently,2124
public,No Vehicle,1767,No,3,"['Plastic', 'Glass', 'Metal']",69,never,1483
walk/bicycle,No Vehicle,24,Yes,3,"['Paper', 'Plastic', 'Glass']",289,frequently,1913
private,diesel,1658,Yes,3,"['Paper', 'Glass']",57,frequently,2228
walk/bicycle,No Vehicle,1,No,7,"['Glass', 'Metal']",285,never,2283
walk/bicycle,No Vehicle,55,No,5,"['Paper', 'Plastic']",272,very frequently,2945
private,lpg,5964,Sometimes,4,[],87,frequently,3176
walk/bicycle,No Vehicle,28,Sometimes,1,"['Paper', 'Plastic']",92,never,1236
private,hybrid,7304,Sometimes,3,"['Paper', 'Plastic']",266,frequently,2693
walk/bicycle,No Vehicle,28,Sometimes,1,"['Paper', 'Glass', 'Metal']",234,frequently,1809
walk/bicycle,No Vehicle,24,No,3,"['Paper', 'Glass', 'Metal']",89,very frequently,2055
public,No Vehicle,658,Sometimes,1,"['Paper', 'Plastic', 'Metal']",279,frequently,1320
walk/bicycle,No Vehicle,34,Yes,3,['Metal'],278,rarely,1344
walk/bicycle,No Vehicle,80,No,1,"['Paper', 'Plastic', 'Glass']",288,rarely,1532
public,No Vehicle,996,Sometimes,5,"['Glass', 'Metal']",185,frequently,2306
public,No Vehicle,1993,Sometimes,4,[],298,never,2430
walk/bicycle,No Vehicle,80,No,4,"['Paper', 'Plastic', 'Glass', 'Metal']",124,rarely,846
private,petrol,6574,No,5,"['Paper', 'Plastic', 'Glass', 'Metal']",228,never,3263
walk/bicycle,No Vehicle,2,Yes,6,"['Paper', 'Plastic', 'Glass', 'Metal']",235,very frequently,2424
public,No Vehicle,1697,Yes,5,"['Plastic', 'Glass']",80,never,1171
walk/bicycle,No Vehicle,20,Yes,2,['Paper'],202,rarely,1289
private,lpg,8770,Sometimes,1,['Plastic'],218,rarely,3716
public,No Vehicle,111,Yes,7,"['Paper', 'Plastic', 'Glass']",145,very frequently,2967
public,No Vehicle,74,Yes,7,"['Paper', 'Plastic']",131,very frequently,2457
walk/bicycle,No Vehicle,41,No,6,"['Plastic', 'Metal']",204,never,2845
private,diesel,8194,Yes,6,"['Paper', 'Glass', 'Metal']",163,very frequently,4790
public,No Vehicle,203,Sometimes,5,"['Paper', 'Plastic', 'Metal']",287,very frequently,2179
private,lpg,5074,No,7,"['Paper', 'Metal']",213,rarely,4622
walk/bicycle,No Vehicle,20,Yes,1,['Plastic'],233,never,1964
public,No Vehicle,551,Yes,6,[],144,never,1351
walk/bicycle,No Vehicle,86,Sometimes,4,"['Plastic', 'Glass', 'Metal']",245,rarely,1125
private,petrol,8922,Yes,4,"['Plastic', 'Glass', 'Metal']",150,frequently,7033
public,No Vehicle,1412,Yes,1,['Glass'],154,rarely,1591
public,No Vehicle,616,No,3,['Glass'],60,frequently,1711
public,No Vehicle,998,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",73,frequently,1095
private,hybrid,2791,No,5,['Plastic'],182,very frequently,3326
walk/bicycle,No Vehicle,45,Sometimes,7,['Paper'],192,very frequently,2127
private,diesel,6207,Yes,7,"['Paper', 'Metal']",259,frequently,2929
public,No Vehicle,1960,Sometimes,1,"['Glass', 'Metal']",210,very frequently,2161
private,petrol,1614,Yes,1,"['Paper', 'Plastic', 'Glass', 'Metal']",96,frequently,1952
private,electric,5175,Yes,6,['Glass'],187,rarely,1650
public,No Vehicle,952,No,7,"['Paper', 'Plastic', 'Glass']",84,rarely,1672
private,hybrid,5738,Sometimes,3,"['Paper', 'Plastic', 'Metal']",132,rarely,2240
private,hybrid,8317,Sometimes,6,['Paper'],141,rarely,3238
walk/bicycle,No Vehicle,11,No,7,"['Paper', 'Plastic', 'Metal']",275,rarely,2045
walk/bicycle,No Vehicle,52,Yes,6,"['Paper', 'Plastic', 'Glass']",269,very frequently,2563
public,No Vehicle,833,Sometimes,7,"['Plastic', 'Glass']",176,very frequently,3094
public,No Vehicle,452,Sometimes,4,"['Paper', 'Plastic']",55,frequently,1499
public,No Vehicle,590,Yes,1,"['Paper', 'Glass']",158,rarely,1171
public,No Vehicle,1840,Sometimes,2,['Glass'],157,never,1814
private,lpg,1060,No,1,[],296,frequently,2376
private,hybrid,5074,Yes,1,"['Plastic', 'Glass']",108,never,1818
public,No Vehicle,1134,No,3,"['Paper', 'Plastic', 'Glass']",176,rarely,1559
private,electric,1518,Sometimes,2,"['Plastic', 'Metal']",60,frequently,2458
public,No Vehicle,1801,Yes,5,"['Paper', 'Plastic']",138,very frequently,2646
public,No Vehicle,1903,Yes,4,['Glass'],202,rarely,1447
public,No Vehicle,770,Yes,4,"['Paper', 'Glass', 'Metal']",60,never,971
walk/bicycle,No Vehicle,0,Yes,4,['Metal'],185,frequently,1346
walk/bicycle,No Vehicle,10,Sometimes,1,"['Paper', 'Metal']",205,rarely,1514
private,hybrid,2801,Sometimes,7,"['Plastic', 'Glass']",212,rarely,2738
private,diesel,8272,Sometimes,4,"['Plastic', 'Glass']",69,frequently,4981
walk/bicycle,No Vehicle,85,No,7,"['Paper', 'Plastic', 'Metal']",81,very frequently,2871
public,No Vehicle,785,No,7,['Glass'],109,frequently,3062
private,electric,9740,No,2,"['Paper', 'Metal']",294,never,1041
public,No Vehicle,434,Sometimes,3,"['Paper', 'Plastic', 'Glass']",217,frequently,1614
walk/bicycle,No Vehicle,31,No,7,"['Paper', 'Glass', 'Metal']",247,never,1243
public,No Vehicle,1262,No,4,"['Paper', 'Plastic', 'Glass', 'Metal']",77,never,998
walk/bicycle,No Vehicle,82,No,3,"['Paper', 'Plastic', 'Metal']",208,very frequently,3383
public,No Vehicle,324,No,3,['Paper'],200,rarely,1553
walk/bicycle,No Vehicle,79,No,2,['Glass'],98,rarely,1255
private,petrol,4579,Yes,6,"['Glass', 'Metal']",185,frequently,2839
walk/bicycle,No Vehicle,9,Sometimes,3,['Plastic'],203,rarely,1920
private,petrol,6734,No,6,['Glass'],292,never,4102
private,hybrid,2226,Yes,3,['Paper'],134,rarely,1807
public,No Vehicle,895,Yes,6,['Metal'],217,rarely,1550
public,No Vehicle,1383,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",118,frequently,2033
walk/bicycle,No Vehicle,8,Sometimes,5,['Glass'],84,rarely,1828
walk/bicycle,No Vehicle,39,No,6,"['Plastic', 'Glass', 'Metal']",283,very frequently,3053
walk/bicycle,No Vehicle,57,Yes,1,"['Plastic', 'Glass', 'Metal']",265,rarely,1320
public,No Vehicle,407,No,3,"['Glass', 'Metal']",201,very frequently,2109
private,hybrid,414,Yes,4,['Plastic'],265,rarely,1715
walk/bicycle,No Vehicle,69,No,7,"['Paper', 'Plastic', 'Glass', 'Metal']",84,never,1124
private,hybrid,6926,Yes,2,"['Paper', 'Glass']",102,rarely,1939
public,No Vehicle,361,No,2,"['Paper', 'Metal']",249,never,888
public,No Vehicle,1496,Sometimes,1,"['Paper', 'Plastic']",170,rarely,2379
walk/bicycle,No Vehicle,59,No,6,"['Paper', 'Plastic', 'Glass', 'Metal']",75,frequently,1971
public,No Vehicle,752,No,1,"['Paper', 'Glass']",121,very frequently,2268
private,diesel,8003,Yes,7,"['Plastic', 'Glass']",228,rarely,4299
private,hybrid,5308,Yes,5,['Plastic'],196,rarely,2297
public,No Vehicle,235,No,5,"['Paper', 'Glass']",121,rarely,1213
private,diesel,6512,Sometimes,1,"['Paper', 'Metal']",227,frequently,4048
walk/bicycle,No Vehicle,7,No,2,"['Plastic', 'Metal']",287,rarely,1950
public,No Vehicle,1901,No,5,"['Glass', 'Metal']",58,rarely,1149
public,No Vehicle,1334,Yes,4,"['Paper', 'Glass', 'Metal']",114,never,1365
private,electric,6840,No,7,"['Paper', 'Glass']",219,rarely,1966
walk/bicycle,No Vehicle,70,Sometimes,2,['Plastic'],57,very frequently,1965
private,diesel,3371,Sometimes,6,"['Paper', 'Glass', 'Metal']",133,very frequently,3934
private,petrol,8669,Sometimes,5,"['Plastic', 'Metal']",183,never,4684
walk/bicycle,No Vehicle,70,Yes,4,"['Paper', 'Glass']",128,frequently,1564
public,No Vehicle,98,Yes,5,[],281,frequently,2677
walk/bicycle,No Vehicle,22,Yes,7,"['Plastic', 'Glass', 'Metal']",242,rarely,1101
walk/bicycle,No Vehicle,96,No,4,['Plastic'],208,very frequently,3189
public,No Vehicle,282,Yes,1,['Paper'],255,rarely,1279
private,petrol,4501,Yes,1,"['Paper', 'Plastic', 'Glass', 'Metal']",241,very frequently,4878
public,No Vehicle,1561,No,4,"['Plastic', 'Metal']",63,rarely,1547
private,hybrid,7084,Sometimes,6,['Paper'],261,never,2398
private,hybrid,2258,Yes,4,"['Paper', 'Plastic', 'Metal']",217,very frequently,2717
private,hybrid,8070,No,1,"['Paper', 'Glass']",155,rarely,2671
walk/bicycle,No Vehicle,37,Yes,7,['Plastic'],234,never,1209
private,lpg,5123,Yes,1,"['Plastic', 'Metal']",151,very frequently,3566
walk/bicycle,No Vehicle,15,No,5,['Metal'],285,never,1737
walk/bicycle,No Vehicle,5,Sometimes,4,"['Glass', 'Metal']",143,rarely,1007
private,petrol,7584,Yes,5,"['Paper', 'Glass']",168,frequently,4851
walk/bicycle,No Vehicle,12,Sometimes,5,['Glass'],129,never,1459
private,lpg,3287,No,7,[],95,rarely,3073
public,No Vehicle,1980,No,1,"['Plastic', 'Glass', 'Metal']",224,never,916
private,electric,520,Sometimes,3,"['Plastic', 'Metal']",104,frequently,2214
private,petrol,353,Sometimes,3,"['Plastic', 'Glass']",221,rarely,1469
public,No Vehicle,1002,No,1,"['Paper', 'Glass']",172,frequently,1674
private,electric,1059,No,6,"['Plastic', 'Glass', 'Metal']",185,never,1308
private,electric,1454,Yes,1,"['Plastic', 'Metal']",290,never,1386
public,No Vehicle,408,Yes,5,"['Plastic', 'Metal']",66,frequently,1663
private,diesel,42,No,3,"['Paper', 'Plastic', 'Glass', 'Metal']",60,very frequently,1912
private,electric,4955,No,5,"['Paper', 'Plastic', 'Glass', 'Metal']",225,frequently,1828
walk/bicycle,No Vehicle,10,No,6,"['Paper', 'Plastic']",85,very frequently,3346
private,lpg,2430,No,4,"['Paper', 'Plastic']",65,frequently,3340
public,No Vehicle,840,Yes,5,"['Paper', 'Plastic']",83,frequently,2446
walk/bicycle,No Vehicle,93,Yes,4,"['Paper', 'Plastic']",251,very frequently,2300
private,diesel,5608,Yes,4,['Plastic'],85,frequently,2859
walk/bicycle,No Vehicle,39,Sometimes,2,"['Paper', 'Plastic', 'Glass']",235,frequently,1876
walk/bicycle,No Vehicle,16,No,3,['Paper'],126,never,1335
public,No Vehicle,426,Yes,6,"['Paper', 'Plastic', 'Glass', 'Metal']",279,never,1320
public,No Vehicle,1234,No,1,['Paper'],184,frequently,2200
public,No Vehicle,1489,Sometimes,5,"['Plastic', 'Glass', 'Metal']",185,rarely,1249
private,hybrid,2583,Yes,5,['Metal'],79,very frequently,3074
private,electric,115,No,2,"['Plastic', 'Glass']",120,very frequently,2509
walk/bicycle,No Vehicle,53,Sometimes,4,"['Plastic', 'Glass', 'Metal']",112,very frequently,2524
public,No Vehicle,1555,Sometimes,4,[],114,never,1351
private,lpg,8169,Yes,6,"['Paper', 'Plastic', 'Glass']",271,rarely,4550
walk/bicycle,No Vehicle,28,No,1,"['Plastic', 'Glass']",275,never,1440
public,No Vehicle,505,Yes,2,"['Paper', 'Plastic']",253,never,1607
